Drug,ATC Codes
alpha-Lactalbumin,No ATC Code
Fosmanogepix,No ATC Code
Rasdegafusp alfa,No ATC Code
Paxalisib,No ATC Code
Dubermatinib,No ATC Code
Livoletide,No ATC Code
Birabresib,No ATC Code
GLPG-0259,No ATC Code
MAX-40279,No ATC Code
ABT-288,No ATC Code
BMS-955176,No ATC Code
Cotadutide,No ATC Code
Mibenratide,No ATC Code
RSV-604,No ATC Code
Dextromethadone,No ATC Code
Ciraparantag,No ATC Code
Bixalomer,No ATC Code
Norbixin,No ATC Code
Fluoroacetic acid F-18,No ATC Code
JNJ-26489112,No ATC Code
Fosravuconazole,D01BA03
Capromorelin,No ATC Code
Uprifosbuvir,No ATC Code
Esaxerenone,No ATC Code
NOP-1A,No ATC Code
MK-0736,No ATC Code
Chlorotoxin,No ATC Code
Duvortuxizumab,No ATC Code
Pemafibrate,No ATC Code
25-desacetylrifapentine,No ATC Code
BMS-986104,No ATC Code
KRN-5500,No ATC Code
Amylose,No ATC Code
Gastric inhibitory polypeptide,No ATC Code
Pozelimab,No ATC Code
Tomivosertib,No ATC Code
Seliforant,No ATC Code
PF-06260414,No ATC Code
GS-6620,No ATC Code
Flotetuzumab,No ATC Code
Lisavanbulin,No ATC Code
Mitazalimab,No ATC Code
Dasiglucagon,H04AA02
Tirabrutinib,No ATC Code
Avidin,No ATC Code
CNV-2197944,No ATC Code
Dithiopyr,No ATC Code
Brimapitide,No ATC Code
Telaglenastat,No ATC Code
Avapritinib,L01EX18
Semorinemab,No ATC Code
Di-2-pyridylketone 4-cyclohexyl-4-methyl-3-thiosemicarbazone,No ATC Code
Fucose,No ATC Code
Fluciclovine,No ATC Code
Olinciguat,No ATC Code
Nesolicaftor,No ATC Code
Elezanumab,No ATC Code
Methylsamidorphan,No ATC Code
MK-0533,No ATC Code
2-(1-Hexyloxyethyl)-2-devinyl pyropheophorbide-a,No ATC Code
Iopofosine I-131,No ATC Code
Olorofim,No ATC Code
Salvianolic acid A,No ATC Code
Vorolanib,No ATC Code
Bulevirtide,J05AX28
MK-6325,No ATC Code
Vercirnon,No ATC Code
Antipain,No ATC Code
Nemolizumab,No ATC Code
Bleselumab,No ATC Code
Avutometinib,No ATC Code
Reldesemtiv,No ATC Code
Milademetan,No ATC Code
Imlifidase,L04AA41
VB-201,No ATC Code
Iscalimab,No ATC Code
Butafenacil,No ATC Code
Futuximab,No ATC Code
Thyrotropin,V04CJ01
PD-0299685,No ATC Code
USL-311,No ATC Code
Tovorafenib,No ATC Code
Lesinidase alfa,No ATC Code
Afabicin,No ATC Code
ALK-4290,No ATC Code
Efgartigimod alfa,L04AA58
Crizanlizumab,B06AX01
Edratide,No ATC Code
VS-4718,No ATC Code
Pertussis vaccine,No ATC Code
Inavolisib,No ATC Code
PR1 leukemia peptide vaccine,No ATC Code
Gedivumab,No ATC Code
Marzeptacog alfa (activated),No ATC Code
CB-103,No ATC Code
Gimsilumab,No ATC Code
Ravoxertinib,No ATC Code
Fluorofuranylnorprogesterone F-18,No ATC Code
Tebentafusp,L01XX75
Sulopenem,No ATC Code
ARC-19499,No ATC Code
CB-1158,No ATC Code
Elismetrep,No ATC Code
Etamicastat,No ATC Code
Perillyl alcohol,No ATC Code
Pegteograstim,L03AA17
BMS-986142,No ATC Code
Foliglurax,No ATC Code
Epalrestat,No ATC Code
SB-1578,No ATC Code
Tenalisib,No ATC Code
D-fluoromethyltyrosine F-18,No ATC Code
Petesicatib,No ATC Code
Ontamalimab,No ATC Code
Navtemadlin,No ATC Code
Hydroquinidine,C01BA13
Bevifimod,No ATC Code
2-fluorofucose,No ATC Code
Faricimab,S01LA09
iota-Carrageenan,No ATC Code
Risdiplam,M09AX10
MEDI-6469,No ATC Code
Atabecestat,No ATC Code
Ridinilazole,No ATC Code
Hypothiocyanite ion,No ATC Code
Vactosertib,No ATC Code
Davanat,No ATC Code
Orilanolimab,No ATC Code
DAS-181,No ATC Code
Modimelanotide,No ATC Code
Coblopasvir,J05AP12
Florasulam,No ATC Code
Posiphen,No ATC Code
Neodymium,No ATC Code
VM4-037,No ATC Code
Tefinostat,No ATC Code
Lacutamab,No ATC Code
Trelagliptin,No ATC Code
ORM-13070 C-11,No ATC Code
ONO-8539,No ATC Code
CXL-1020,No ATC Code
Abivertinib,No ATC Code
Ubrogepant,N02CD04
Nattokinase,No ATC Code
Nesvacumab,No ATC Code
Vocimagene amiretrorepvec,No ATC Code
Radavirsen,No ATC Code
AZD-1386,No ATC Code
Biochanin A,No ATC Code
Formononetin,No ATC Code
Valanafusp alfa,No ATC Code
Rovatirelin,No ATC Code
Methcathinone,No ATC Code
EC-0652,No ATC Code
Dinalbuphine sebacate,No ATC Code
Panobacumab,No ATC Code
Tuspetinib,No ATC Code
beta-Hydroxyisovaleric acid,No ATC Code
GSK-945237,No ATC Code
GLPG-1205,No ATC Code
Branebrutinib,No ATC Code
Ampreloxetine,No ATC Code
Sofituzumab vedotin,No ATC Code
D-chiro-Inositol,No ATC Code
Dihematoporphyrin ether,No ATC Code
Vorsetuzumab mafodotin,No ATC Code
Nacubactam,No ATC Code
Evinacumab,C10AX17
PL-3994,No ATC Code
SLV-334,No ATC Code
Xanomeline,No ATC Code
JNJ-54175446,No ATC Code
Xanthohumol,No ATC Code
"Carfentanil, C-11",No ATC Code
Thallium Tl-201,No ATC Code
LSZ-102,No ATC Code
Istiratumab,No ATC Code
Pegbelfermin,No ATC Code
SOR-C13,No ATC Code
LY-2623091,No ATC Code
Yttrium Y-90 clivatuzumab tetraxetan,No ATC Code
Aganirsen,No ATC Code
Balixafortide,No ATC Code
MK-2748,No ATC Code
JNJ-27548547,No ATC Code
Tilmanocept,No ATC Code
Cobalt Co-60,No ATC Code
Tozuleristide,No ATC Code
Gosuranemab,No ATC Code
ATB-346,No ATC Code
Vopratelimab,No ATC Code
Hydroxypropyl betadex,No ATC Code
Flutriciclamide F-18,No ATC Code
Menaquinone,No ATC Code
SAR-125844,No ATC Code
Pidilizumab,No ATC Code
Simotaxel,No ATC Code
Acebilustat,No ATC Code
ALT-801,No ATC Code
Bintrafusp alfa,No ATC Code
Anti-GD2 monoclonal antibody 3F8,No ATC Code
Teceleukin,No ATC Code
Efizonerimod alfa,No ATC Code
Elenbecestat,No ATC Code
Cesium,No ATC Code
Telatinib,No ATC Code
gamma-Tocopherol,No ATC Code
Elranatamab,No ATC Code
Vamotinib,No ATC Code
GMA-161,No ATC Code
Dihydrocapsiate,No ATC Code
BMS-754807,No ATC Code
Lifastuzumab vedotin,No ATC Code
Danicopan,No ATC Code
Tucotuzumab celmoleukin,No ATC Code
Ziritaxestat,No ATC Code
"Heparin, bovine",No ATC Code
FET F-18,V09IX10
GLPG-0974,No ATC Code
Acalisib,No ATC Code
Silmitasertib,No ATC Code
Ladiratuzumab vedotin,No ATC Code
(S)-Propafenone,No ATC Code
ABP-700,No ATC Code
LB-100,No ATC Code
Pafolacianine,V04CX10
CM-4307,No ATC Code
Tomaralimab,No ATC Code
PX-102,No ATC Code
Recanaclotide,No ATC Code
AZD-9977,No ATC Code
Nanatinostat,No ATC Code
Coagulation factor XIa,No ATC Code
Cetrelimab,No ATC Code
ILS-920,No ATC Code
Disaccharide tripeptide glycerol dipalmitoyl,No ATC Code
Bfpet F-18,No ATC Code
CYC-065,No ATC Code
Giripladib,No ATC Code
Fialuridine,No ATC Code
Vesencumab,No ATC Code
Thioglycolic acid,No ATC Code
Elgemtumab,No ATC Code
M-2698,No ATC Code
Pinatuzumab vedotin,No ATC Code
AVI-7537,No ATC Code
Mosunetuzumab,No ATC Code
BMS-986158,No ATC Code
Glucoraphanin,No ATC Code
Rocacetrapib,No ATC Code
Artemin,No ATC Code
Navoximod,No ATC Code
GSK-3117391,No ATC Code
Lulizumab pegol,No ATC Code
Trilaciclib,V03AF12
Lorukafusp alfa,No ATC Code
Elexacaftor,R07AX32
Iodohippuric acid,No ATC Code
Vidofludimus,No ATC Code
Setogepram,No ATC Code
Acumapimod,No ATC Code
Citarinostat,No ATC Code
PF-05105679,No ATC Code
SOBI-003,No ATC Code
Technetium Tc-99m epratuzumab,No ATC Code
Naratuximab emtansine,No ATC Code
Cenersen,No ATC Code
Vericiguat,C01DX22
Snubh-nm-333 F-18,No ATC Code
Norleucine,No ATC Code
AGG-523,No ATC Code
Yersinia pestis 195/p antigen (formaldehyde inactivated),No ATC Code
Fucoxanthin,No ATC Code
Belzutifan,L01XX74
Urolithin A,No ATC Code
Benzhydrocodone,No ATC Code
Tallimustine,No ATC Code
Cinoxate,No ATC Code
Iscotrizinol,No ATC Code
Octyl triazone,No ATC Code
Minretumomab,No ATC Code
Zanidatamab,No ATC Code
Zanidatamab zovodotin,No ATC Code
Haemagglutinin-strain B (Victoria-like),No ATC Code
Haemagglutinin-strain B (Yamagata-like),No ATC Code
Haemagglutinin-strain A(H3N2),No ATC Code
Haemagglutinin-strain A(H1N1),No ATC Code
Alloin,No ATC Code
Frangula purshiana bark,No ATC Code
Zirconium chloride hydroxide,No ATC Code
Resorcinol monoacetate,No ATC Code
Fish liver oil,No ATC Code
Haemagglutinin-strain B,No ATC Code
Modified vaccinia ankara,No ATC Code
"Vibrio cholerae Inaba 6973 El Tor biotype, formalin inactivated",No ATC Code
"Vibrio cholerae Inaba 48 classical biotype, heat inactivated",No ATC Code
"Vibrio cholerae Ogawa 50 classical biotype, heat inactivated",No ATC Code
"Vibrio cholerae Ogawa 50 classical biotype, formalin inactivated",No ATC Code
Echinacoside,No ATC Code
Mexazolam,N05BA25
Zuranolone,No ATC Code
Oxazolam,No ATC Code
Eticlopride,No ATC Code
Cambinol,No ATC Code
Edotreotide gallium Ga-68,V09IX09
Rocaglamide,No ATC Code
Didesmethylrocaglamide,No ATC Code
"Smallpox and Monkeypox Vaccine, Live, Non-replicating",No ATC Code
BOS172722,No ATC Code
Cerdulatinib,No ATC Code
Influenza A virus A/Brisbane/02/2018 IVR-190 (H1N1) antigen (propiolactone inactivated),No ATC Code
Influenza A virus A/Kansas/14/2017 X-327 (H3N2) antigen (propiolactone inactivated),No ATC Code
Baccharis sarothroides whole,No ATC Code
Amaranthus hybridus pollen,No ATC Code
Acacia dealbata pollen,No ATC Code
"Influenza A virus A/Idaho/07/2018 (H1N1) antigen (MDCK cell derived, propiolactone inactivated",No ATC Code
"Influenza A virus A/Indiana/08/2018 (H3N2) antigen (MDCK cell derived, propiolactone inactivated)",No ATC Code
"Influenza B virus B/Singapore/INFTT-16-0610/2016 antigen (MDCK cell derived, propiolactone inactivated)",No ATC Code
"Influenza B virus B/Iowa/06/2017 antigen (MDCK cell derived, propiolactone inactivated)",No ATC Code
Alnus serrulata pollen,No ATC Code
Prosopis velutina seed,No ATC Code
Gibberella fujikuroi,No ATC Code
Mucor circinelloides f. circinelloides,No ATC Code
Influenza A virus A/Switzerland/3330/2017 (H1N1) live (attenuated) antigen,No ATC Code
Influenza A virus A/Kansas/14/2017 (H3N2) live (attenuated) antigen,No ATC Code
Influenza A virus A/Brisbane/02/2018 IVR-190 (H1N1) antigen (formaldehyde inactivated),No ATC Code
Influenza A virus A/Kansas/14/2017 X-327 (H3N2) antigen (formaldehyde inactivated),No ATC Code
Influenza A virus A/Brisbane/02/2018 (H1N1) recombinant hemagglutinin antigen,No ATC Code
Influenza A virus A/Kansas/14/2017 (H3N2) recombinant hemagglutinin antigen,No ATC Code
"Influenza A virus A/Brisbane/02/2018 IVR-190 (H1N1) antigen (UV, formaldehyde inactivated)",No ATC Code
"Influenza A virus A/Kansas/14/2017 X-327 (H3N2) antigen (UV, formaldehyde inactivated)",No ATC Code
Cyd dengue virus serotype 1 live (attenuated) antigen,No ATC Code
Cyd dengue virus serotype 2 live (attenuated) antigen,No ATC Code
Cyd dengue virus serotype 3 live (attenuated) antigen,No ATC Code
Cyd dengue virus serotype 4 live (attenuated) antigen,No ATC Code
Mucor circinelloides f. lusitanicus,No ATC Code
Eurotium amstelodami,No ATC Code
Umirolimus,No ATC Code
Onasemnogene abeparvovec,M09AX09
Leucanthemum vulgare pollen,No ATC Code
Trifolium pratense pollen,No ATC Code
Silk sericin,No ATC Code
Madecassoside,No ATC Code
Calcium sulfate,No ATC Code
Colchiceine,No ATC Code
Cuprous chloride,No ATC Code
Ferric chloride,No ATC Code
Eucalyptus gum,No ATC Code
Sea scallop,No ATC Code
Northern brown shrimp,No ATC Code
Rainbow trout,No ATC Code
Yellowfin tuna,No ATC Code
Atlantic mackerel,No ATC Code
Pacific ocean perch,No ATC Code
Myristica fragrans fruit,No ATC Code
Pisum sativum whole,No ATC Code
Skim milk,No ATC Code
Black sea bass,No ATC Code
Channel catfish,No ATC Code
Atlantic halibut,No ATC Code
Pradefovir,No ATC Code
Leptazoline A,No ATC Code
Leptazoline B,No ATC Code
Leptazoline C,No ATC Code
Leptazoline D,No ATC Code
Magnesium malate,No ATC Code
Zinc glycinate citrate,No ATC Code
"24-Homo-1,25-dihydroxyvitamin D3",No ATC Code
Imalumab,No ATC Code
Zenocutuzumab,No ATC Code
Reloxaliase,No ATC Code
Valoctocogene roxaparvovec,No ATC Code
"Influenza A virus A/North carolina/04/2016 (H3N2) hemagglutinin antigen (MDCK cell derived, propiolactone inactivated)",No ATC Code
"Influenza B virus B/Iowa/06/2017 hemagglutinin antigen (MDCK cell derived, propiolactone inactivated)",No ATC Code
"Influenza B virus B/Singapore/INFTT-16-0610/2016 hemagglutinin antigen (MDCK cell derived, propiolactone inactivated)",No ATC Code
Cilazaprilat,No ATC Code
Prednisolone acetate,No ATC Code
PCLX-001,No ATC Code
Adagrasib,L01XX77
Sotorasib,L01XX73
FLX475,No ATC Code
(12R)-12-hydroxyeicosapentaenoic acid,No ATC Code
Exagamglogene autotemcel,No ATC Code
alpha-Pinene,No ATC Code
beta-Pinene,No ATC Code
Padeliporfin,L01XD07
Ethyl salicylate,No ATC Code
Desfesoterodine,G04BD13
Cryptotanshinone,No ATC Code
Climbazole,No ATC Code
Chrysin,No ATC Code
Echinomycin,No ATC Code
Fluazuron,No ATC Code
Luteolin,No ATC Code
ORG-31710,No ATC Code
Patulin,No ATC Code
Antimony potassium tartrate,No ATC Code
Ursolic acid,No ATC Code
Zingerone,No ATC Code
beta-Apopicropodophyllin,No ATC Code
Atrial natriuretic peptide,No ATC Code
Cucurbita pepo subsp. ovifera whole,No ATC Code
Golodirsen,M09AX08
Brilliant blue G,No ATC Code
"Ebola Zaire vaccine (live, attenuated)",No ATC Code
Aminopromazine,No ATC Code
Aminopentamide,No ATC Code
Ferric maltol,B03AB10
MIV-711,No ATC Code
NNZ-2591,No ATC Code
Cashew fruit,No ATC Code
"Coffea arabica seed, roasted",No ATC Code
Lactuca sativa whole,No ATC Code
Field mushroom,No ATC Code
White mustard seed,No ATC Code
Hydrolyzed soy protein,No ATC Code
Theobroma cacao whole,No ATC Code
JPC-3210,No ATC Code
(4-(trifluoromethoxy)phenyl)urea,No ATC Code
Muskmelon,No ATC Code
American hazelnut,No ATC Code
Musa acuminata fruit,No ATC Code
Previtamin D(3),No ATC Code
Fennel,No ATC Code
REC-994,No ATC Code
Ferric derisomaltose,No ATC Code
"(5E,7E,9)-decatrien-2-one",No ATC Code
"(5Z,7E,9)-decatrien-2-one",No ATC Code
Influenza B virus B/Washington/02/2019 antigen (formaldehyde inactivated),No ATC Code
Influenza A virus A/South Australia/34/2019 IVR-197 (H3N2) antigen (formaldehyde inactivated),No ATC Code
Triazavirin,No ATC Code
TMC-310911,No ATC Code
Halicin,No ATC Code
Spesolimab,L04AC22
Dostarlimab,L01FF07
Inolimomab,No ATC Code
Garadacimab,No ATC Code
Glumetinib,No ATC Code
Edodekin alfa,No ATC Code
Zalifrelimab,No ATC Code
Pabinafusp alfa,No ATC Code
Temelimab,No ATC Code
Omburtamab,No ATC Code
Zilucoplan,No ATC Code
Fluzoparib,No ATC Code
Brensocatib,No ATC Code
AMG-337,No ATC Code
CDC-801,No ATC Code
Droloxifene,No ATC Code
Molidustat,No ATC Code
N-(2-Aminoethyl)-1-aziridineethanamine,No ATC Code
Ochromycinone,No ATC Code
Dihydromyricetin,No ATC Code
Fasitibant,No ATC Code
Ketodarolutamide,No ATC Code
Calcium oxide,No ATC Code
Carbomer,No ATC Code
Efpeglenatide,No ATC Code
Valomaciclovir stearate,No ATC Code
Ravidasvir,No ATC Code
Islatravir,No ATC Code
Moderna COVID-19 Vaccine,No ATC Code
Ad5-nCoV,No ATC Code
AstraZeneca COVID-19 Vaccine,No ATC Code
Ala-geninthiocin,No ATC Code
"2-chloro-4,5-dimethylphenol",No ATC Code
"alpha,alpha-Dibromo-D-camphor",No ATC Code
N4-Hydroxycytidine,No ATC Code
Molnupiravir,J05AB18
Myristyl glyceryl ether,No ATC Code
Grapefruit oil,No ATC Code
Vitamin K7,No ATC Code
SEP-363856,No ATC Code
Iodopropynyl butylcarbamate,No ATC Code
Bacillus amyloliquefaciens,No ATC Code
Silver oxide,No ATC Code
Fezolinetant,G02CX06
Gusacitinib,No ATC Code
Besifovir,No ATC Code
Rilematovir,No ATC Code
Lenacapavir,J05AX31
Sisunatovir,No ATC Code
Baloxavir,No ATC Code
Balstilimab,No ATC Code
Polyaminopropyl biguanide,No ATC Code
Calcium undecylenate,No ATC Code
Aluminum subacetate,No ATC Code
Neisseria meningitidis group A capsular polysaccharide tetanus toxoid conjugate antigen,No ATC Code
Neisseria meningitidis group C capsular polysaccharide tetanus toxoid conjugate antigen,No ATC Code
Neisseria meningitidis group Y capsular polysaccharide tetanus toxoid conjugate antigen,No ATC Code
Neisseria meningitidis group W-135 capsular polysaccharide tetanus toxoid conjugate antigen,No ATC Code
"2,3-dichloro-5,6-dicyanobenzoquinone",No ATC Code
Selpercatinib,L01EX22
GS-441524,No ATC Code
Tridecactide,No ATC Code
Zavegepant,No ATC Code
Azoximer bromide,No ATC Code
Fluoroestradiol F-18,No ATC Code
Anti-SARS-CoV-2 REGN-COV2,No ATC Code
COVID-19 convalescent plasma,No ATC Code
INO-4800,No ATC Code
Cedazuridine,No ATC Code
BNT162b1 SARS-CoV-2 Vaccine,No ATC Code
Tozinameran,No ATC Code
BNT162a1 SARS-CoV-2 Vaccine,No ATC Code
BNT162c2 SARS-CoV-2 Vaccine,No ATC Code
Brexucabtagene autoleucel,L01XL06
Influenza A virus A/Hawaii/70/2019 (H1N1) recombinant hemagglutinin antigen,No ATC Code
Influenza A virus A/Minnesota/41/2019 (H3N2) recombinant hemagglutinin antigen,No ATC Code
Influenza B virus B/Washington/02/2019 recombinant hemagglutinin antigen,No ATC Code
Influenza A virus A/Guangdong-Maonan/SWL1536/2019 CNIC-1909 (H1N1) antigen (formaldehyde inactivated),No ATC Code
Influenza A virus A/Hong Kong/2671/2019 IVR-208 (H3N2) antigen (formaldehyde inactivated),No ATC Code
Influenza A virus A/Victoria/2454/2019 IVR-207 (H1N1) antigen (formaldehyde inactivated),No ATC Code
Influenza B virus B/Victoria/705/2018 BVR-11 antigen (formaldehyde inactivated),No ATC Code
"Influenza A virus A/Nebraska/14/2019 (H1N1) antigen (MDCK cell derived, propiolactone inactivated)",No ATC Code
"Influenza A virus A/Delaware/39/2019 (H3N2) antigen (MDCK cell derived, propiolactone inactivated)",No ATC Code
"Influenza B virus B/Darwin/7/2019 antigen (MDCK cell derived, propiolactone inactivated)",No ATC Code
Influenza A virus A/Hong Kong/2671/2019 NIB-121 (H3N2) antigen (formaldehyde inactivated),No ATC Code
Influenza A virus A/Victoria/2454/2019 IVR-207 (H1N1) antigen (propiolactone inactivated),No ATC Code
Influenza A virus A/Hong Kong/2671/2019 IVR-208 (H3N2) antigen (propiolactone inactivated),No ATC Code
Influenza B virus B/Victoria/705/2018 BVR-11 antigen (propiolactone inactivated),No ATC Code
"Influenza A virus A/Guangdong-Maonan/SWL1536/2019 CNIC-1909 (H1N1) antigen (UV, formaldehyde inactivated)",No ATC Code
"Influenza A virus A/Hong Kong/2671/2019 NIB-121 (H3N2) antigen (UV, formaldehyde inactivated)",No ATC Code
"Influenza B virus B/Washington/02/2019 antigen (UV, formaldehyde inactivated)",No ATC Code
Theralizumab,No ATC Code
Bamlanivimab,No ATC Code
Belantamab mafodotin,L01FX15
Zinc orotate,No ATC Code
Natural Killer Cell,No ATC Code
CYNK-001,No ATC Code
Umbilical Cord Blood Hematopoietic Stem Cells,No ATC Code
Human umbilical cord blood mononuclear cell-conditioned medium,No ATC Code
IL15-NK Cell,No ATC Code
Human Umbilical Cord Mesenchymal Stem Cells,No ATC Code
NKG2D-ACE2 CAR-NK Cell,No ATC Code
Allogenic Human Umbilical Derived Mesenchymal Stem Cells in Conditioned Media,No ATC Code
Adipose-Derived Mesenchymal Stem Cells: Autologous or Allogeneic Origins,No ATC Code
Placental Mesenchymal Stem Cells,No ATC Code
Allogenic Donor CD362-enriched Human Umbilical Cord-derived Mesenchymal Stem Cells,No ATC Code
FT516,No ATC Code
Lactobacillus coryniformis K8,No ATC Code
Human Embryonic Stem Cell-derived M Cell,No ATC Code
Virus Specific T-Cell,No ATC Code
Alunacedase alfa,No ATC Code
Dental Mesenchymal Pulp Stem Cells,No ATC Code
Human Menstrual Blood-derived Stem Cells,No ATC Code
CYP-001,No ATC Code
Allogenic Pooled Olfactory Mucosa-derived Mesenchymal Stem Cells,No ATC Code
Recombinant Bacterial ACE2 Receptors-like Enzyme,No ATC Code
MultiStem,No ATC Code
Stem-cell derived exosome vesicle products,No ATC Code
Allogeneic Cardiosphere-Derived Cells,No ATC Code
Washed Microbiota Transplantation,No ATC Code
Recombinant human plasma gelsolin,No ATC Code
CoviGlobulin,No ATC Code
Viral Macrophage-Inflammatory Protein,No ATC Code
Interferon Kappa,No ATC Code
Trefoil Factor 2,No ATC Code
MRx-4DP0004,No ATC Code
Recombinant Super-Compound Interferon,No ATC Code
Interferon Gamma,L03AB03
Influenza A virus A/Hawaii/66/2019 (H1N1) live (attenuated) antigen,No ATC Code
Influenza A virus A/Hong Kong/2671/2019 (H3N2) live (attenuated) antigen,No ATC Code
Influenza B virus B/Washington/02/2019 live (attenuated) antigen,No ATC Code
Metronidazole benzoate,No ATC Code
Cobaltous sulfate,No ATC Code
Sulbactam pivoxil,No ATC Code
Satralizumab,L04AC19
Iron polymaltose,No ATC Code
Benzyl nicotinate,No ATC Code
Sintilimab,No ATC Code
Retifanlimab,L01FF10
AMP-224,No ATC Code
MEDI0680,No ATC Code
Envafolimab,No ATC Code
Cosibelimab,No ATC Code
AUNP-12,No ATC Code
CA-170,No ATC Code
anti-OX40 antibody BMS 986178,No ATC Code
beta-Escin,No ATC Code
Algestone acetophenide,No ATC Code
Anise oil,No ATC Code
Fluocortolone pivalate,No ATC Code
Hydrogen iodide,No ATC Code
Mebrofenin,No ATC Code
Mertiatide,No ATC Code
Hu-rhEGF-rP64k/Mont,No ATC Code
Cetyl palmitate,No ATC Code
Pargeverine,No ATC Code
Carmoterol,No ATC Code
Myrtecaine,No ATC Code
Maritime pine extract,No ATC Code
AZD7442,No ATC Code
Influenza B virus B/Phuket/3073/2013 BVR-1B antigen (formaldehyde inactivated),No ATC Code
Alpinia officinarum leaf,No ATC Code
Mecloxamine,No ATC Code
MK-0668,No ATC Code
Zinc phenolsulfonate,No ATC Code
Solcoseryl,No ATC Code
Adiphenine,No ATC Code
GC-376 free acid,No ATC Code
GC-373,No ATC Code
Mycobacterium w. Vaccine,No ATC Code
LNP-nCoVsaRNA Vaccine,No ATC Code
VA-MENGOC-BC®,No ATC Code
VPM1002,No ATC Code
AV-COVID-19,No ATC Code
Dendritic cells vaccine,No ATC Code
LV-SMENP Vaccine,No ATC Code
SCB-2019,No ATC Code
CoronaVac,No ATC Code
BBIBP-CorV,No ATC Code
CIGB 2020 Vaccine,No ATC Code
CIGB-258 peptide,No ATC Code
Nuvaxovid,No ATC Code
BacTRL-spike,No ATC Code
V-SARS,No ATC Code
Covid-19 Coronavirus Artificial Antigen Presenting Cell Vaccine,No ATC Code
COVID19 s-vax loaded autologous dendritic cell vaccine,No ATC Code
Boldo leaf extract,No ATC Code
Calcium monoethylfumarate,No ATC Code
Magnesium monoethylfumarate,No ATC Code
Zinc monoethylfumarate,No ATC Code
Potassium aspartate,No ATC Code
Hemicellulase,No ATC Code
Fluocortolone caproate,No ATC Code
Pralsetinib,L01EX23
Lactobacillus acidophilus,No ATC Code
Ferrimannitol ovalbumin,No ATC Code
Dihydroxyaluminum sodium carbonate,No ATC Code
Oxerutins,No ATC Code
Ciclonium bromide,No ATC Code
Ruscogenin,No ATC Code
alpha-Keto-beta-methylvaleric acid,No ATC Code
Desmeninol,No ATC Code
alpha-Keto-isoleucine,No ATC Code
Lecithin,No ATC Code
Desonide sodium phosphate,No ATC Code
Cedar leaf oil,No ATC Code
Orthosiphon aristatus leaf,No ATC Code
Hawthorn leaf with flower,No ATC Code
Pine tar,No ATC Code
Potassium metabisulfite,No ATC Code
Sodium metabisulfite,No ATC Code
CVnCoV Vaccine,No ATC Code
CVnCoV,No ATC Code
COVID-19 Nucleocapsid-GM-CSF Protein Lactated Ringer's Injection,No ATC Code
Covax-19™,No ATC Code
BBV152,No ATC Code
Gam-COVID-Vac,No ATC Code
SARS-CoV-2 Sclamp,No ATC Code
IMM-101,No ATC Code
IMM101,No ATC Code
Coronavirus-Like Particle COVID-19 Vaccine,No ATC Code
RUTI® Vaccine,No ATC Code
MVC-COV1901,No ATC Code
SARS-CoV-2 mRNA vaccine,No ATC Code
AG0301-COVID19,No ATC Code
Janssen COVID-19 Vaccine,No ATC Code
KBP-COVID-19,No ATC Code
NasoVAX,No ATC Code
Cassia fistula fruit,No ATC Code
Buthiazide,C03EA14
Inactivated SARS-Cov-2 Vaccine,No ATC Code
Inactivated SARS-CoV-2 Vaccine (Chinese Academy of Medical Sciences),No ATC Code
Oral Polio Vaccine,No ATC Code
Pentaglobin,No ATC Code
CK0802,No ATC Code
Autologous Non-Hematopoietic Peripheral Blood Stem Cells,No ATC Code
Amniotic Epithelial Cells,No ATC Code
Platelet Lysate,No ATC Code
Probiorinse,No ATC Code
Human Amniotic Fluid,No ATC Code
L-alpha-Glycerophosphorylethanolamine,No ATC Code
Copper oxodotreotide Cu-64,No ATC Code
Agalsidase alfa,A16AB03
"1,3,5-Trimethoxybenzene",No ATC Code
Haemophilus influenzae b polysaccharide-tetanus conjugate,No ATC Code
Cetyltrimethylammonium naproxenate,No ATC Code
Molybdate,No ATC Code
Polygeline,No ATC Code
Dermatan sulfate,B01AX04
Clonazoline,No ATC Code
Sulfamethylthiazole,No ATC Code
Piroxicam cinnamate,No ATC Code
Methylisothiazolinone,No ATC Code
Methacetin methoxy-C-13,No ATC Code
Carvasept,No ATC Code
Fluorocholine F-18,V09IX07
Pipethanate,No ATC Code
Senna leaf,No ATC Code
RAPA-501-Allo,No ATC Code
GX-19 Vaccine,No ATC Code
ZYCOV-D,No ATC Code
CHO Cells Recombinant Vaccine,No ATC Code
Glycyrrhiza uralensis root,No ATC Code
XAV-19,No ATC Code
Etesevimab,No ATC Code
Atoltivimab,No ATC Code
Maftivimab,No ATC Code
Odesivimab,No ATC Code
o-Cymen-5-ol,No ATC Code
Fepradinol,No ATC Code
Chlormadinone acetate,No ATC Code
Alnus glutinosa,No ATC Code
Nicotinaldehyde,No ATC Code
Acetylene,No ATC Code
Escin,No ATC Code
Alexitol sodium,No ATC Code
alpha-Carotene,No ATC Code
Sodium aluminosilicate,No ATC Code
Amfenac,No ATC Code
Calcium hypochlorite,No ATC Code
Cryptoxanthin,No ATC Code
Camphor monobromide,No ATC Code
Anethole,No ATC Code
Camphene,No ATC Code
Fenchone,No ATC Code
Diquafosol,No ATC Code
Menthone,No ATC Code
Tocopheryl nicotinate,No ATC Code
Cajuput oil,No ATC Code
Potassium iodate,No ATC Code
Molybdenum trioxide,No ATC Code
