Drug,DrugBank ID,ATC Codes,Pathways
Biapenem,DB13028,J01DH05,No Pathways
MK-0873,DB13029,No ATC Code,No Pathways
2'-fluoro-5-ethylarabinosyluracil,DB13030,No ATC Code,No Pathways
Niobium,DB13031,No ATC Code,No Pathways
Enecadin,DB13032,No ATC Code,No Pathways
Urocortin-2,DB13033,No ATC Code,No Pathways
Foxy-5,DB13034,No ATC Code,No Pathways
AG-24322,DB13035,No ATC Code,No Pathways
Ramatroban,DB13036,No ATC Code,No Pathways
Namilumab,DB13037,No ATC Code,No Pathways
Glyceryl Trioleate,DB13038,No ATC Code,No Pathways
Aminaphthone,DB13039,No ATC Code,No Pathways
Gandotinib,DB13040,No ATC Code,No Pathways
Odalasvir,DB13041,No ATC Code,No Pathways
Fenoverine,DB13042,A03AX05,No Pathways
Gossypol,DB13044,No ATC Code,No Pathways
Racotumomab,DB13045,No ATC Code,No Pathways
Tocladesine,DB13046,No ATC Code,No Pathways
Pentavalent Antimony,DB13047,No ATC Code,No Pathways
PAC-1,DB13048,No ATC Code,No Pathways
Lobaplatin,DB13049,No ATC Code,No Pathways
Tirilazad,DB13050,N07XX01,No Pathways
CH-5132799,DB13051,No ATC Code,No Pathways
Upamostat,DB13052,No ATC Code,No Pathways
CP-195543,DB13053,No ATC Code,No Pathways
ACT-451840,DB13054,No ATC Code,No Pathways
Oteseconazole,DB13055,J02AC06,No Pathways
Irsogladine,DB13056,No ATC Code,No Pathways
Torapsel,DB13057,No ATC Code,No Pathways
Methanesulfonyl Fluoride,DB13058,No ATC Code,No Pathways
PF-03814735,DB13059,No ATC Code,No Pathways
CEP-37440,DB13060,No ATC Code,No Pathways
MLN8054,DB13061,No ATC Code,No Pathways
ME-344,DB13062,No ATC Code,No Pathways
Parthenolide,DB13063,No ATC Code,No Pathways
Tramazoline,DB13064,R01AA09,No Pathways
LY-2811376,DB13065,No ATC Code,No Pathways
Liarozole,DB13066,No ATC Code,No Pathways
Rotigaptide,DB13067,No ATC Code,No Pathways
9-(N-methyl-L-isoleucine)-cyclosporin A,DB13068,No ATC Code,No Pathways
Nimustine,DB13069,L01AD06,No Pathways
Surinabant,DB13070,No ATC Code,No Pathways
Creatinolfosfate,DB13071,C01EB05,No Pathways
GDC-0349,DB13072,No ATC Code,No Pathways
Tregalizumab,DB13073,No ATC Code,No Pathways
Macimorelin,DB13074,V04CD06,No Pathways
Menaquinone 7,DB13075,No ATC Code,No Pathways
Yttrium Y-90,DB13076,V10AA01,No Pathways
Delpazolid,DB13077,No ATC Code,No Pathways
KOSN-1724,DB13078,No ATC Code,No Pathways
Roluperidone,DB13080,No ATC Code,No Pathways
Nefiracetam,DB13082,No ATC Code,No Pathways
Talarozole,DB13083,No ATC Code,No Pathways
Pyritinol,DB13084,N06BX02,No Pathways
Lumefantrine co-artemether,DB13085,No ATC Code,No Pathways
Acoziborole,DB13086,No ATC Code,No Pathways
Miridesap,DB13087,No ATC Code,No Pathways
AZD-0424,DB13088,No ATC Code,No Pathways
Enoxolone,DB13089,D03AX10,No Pathways
Zidebactam,DB13090,No ATC Code,No Pathways
Tiropramide,DB13091,A03AC05,No Pathways
Meclocycline,DB13092,D10AF04,No Pathways
TAK-593,DB13093,No ATC Code,No Pathways
Pruvanserin,DB13094,No ATC Code,No Pathways
JTK-853,DB13095,No ATC Code,No Pathways
Gacyclidine,DB13096,No ATC Code,No Pathways
1alpha-Hydroxyvitamin D5,DB13097,No ATC Code,No Pathways
CT-2584,DB13098,No ATC Code,No Pathways
Valnoctamide,DB13099,N05CM13,No Pathways
Biguanide,DB13100,No ATC Code,No Pathways
4SC-202,DB13101,No ATC Code,No Pathways
AZD-8418,DB13102,No ATC Code,No Pathways
Camsirubicin,DB13103,No ATC Code,No Pathways
X-396,DB13104,No ATC Code,No Pathways
Resolvin E1,DB13105,No ATC Code,No Pathways
Glycovir,DB13106,No ATC Code,No Pathways
QGC-001,DB13107,No ATC Code,No Pathways
Mephedrone,DB13108,No ATC Code,No Pathways
PKI-179,DB13109,No ATC Code,No Pathways
Antimony,DB13110,No ATC Code,No Pathways
Chromanol,DB13111,No ATC Code,No Pathways
Dolcanatide,DB13112,No ATC Code,No Pathways
JNJ-38877605,DB13113,No ATC Code,No Pathways
Amitriptylinoxide,DB13114,No ATC Code,No Pathways
Saroglitazar,DB13115,No ATC Code,No Pathways
Norflurane,DB13116,No ATC Code,No Pathways
Pentafluoropropane,DB13117,No ATC Code,No Pathways
Paquinimod,DB13118,No ATC Code,No Pathways
GSK-364735,DB13119,No ATC Code,No Pathways
Deferitazole,DB13120,No ATC Code,No Pathways
Hydroxypropyl tetrahydropyrantriol,DB13121,No ATC Code,No Pathways
Trabodenoson,DB13122,No ATC Code,No Pathways
OTX-008,DB13123,No ATC Code,No Pathways
Troxerutin,DB13124,"C05CA04, C05CA54",No Pathways
Lusutrombopag,DB13125,B02BX07,No Pathways
BMS-986115,DB13126,No ATC Code,No Pathways
Olokizumab,DB13127,L04AC23,No Pathways
Sizofiran,DB13128,No ATC Code,No Pathways
Trimegestone,DB13129,"G03FA16, G03FB11",No Pathways
Serrapeptase,DB13131,No ATC Code,No Pathways
Artemisinin,DB13132,"P01BF08, P01BF07, P01BE01",No Pathways
Von Willebrand factor human,DB13133,"B02BD06, B02BD10",No Pathways
Fluorine F-18,DB13134,No ATC Code,No Pathways
AGN-201904,DB13135,No ATC Code,No Pathways
Fluindione,DB13136,B01AA12,No Pathways
PM-060184,DB13137,No ATC Code,No Pathways
Neladenoson bialanate,DB13138,No ATC Code,No Pathways
Levosalbutamol,DB13139,No ATC Code,No Pathways
Bezlotoxumab,DB13140,J06BC03,No Pathways
Ambroxol acefyllinate,DB13141,No ATC Code,No Pathways
Calcium glubionate anhydrous,DB13142,A12AA02,No Pathways
Methallenestril,DB13143,"G03CC03, G03CB03",No Pathways
Lenograstim,DB13144,L03AA10,No Pathways
Nedaplatin,DB13145,No ATC Code,No Pathways
Fluciclovine (18F),DB13146,V09IX12,No Pathways
Pancrelipase lipase,DB13147,No ATC Code,No Pathways
Coagulation factor X human,DB13148,B02BD13,No Pathways
Protein S human,DB13149,No ATC Code,No Pathways
Coagulation factor VII human,DB13150,"B02BD01, B02BD05",No Pathways
Anti-inhibitor coagulant complex,DB13151,B02BD03,No Pathways
Coagulation Factor IX Human,DB13152,"B02BD04, B02BD01",No Pathways
Levomenol,DB13153,No ATC Code,No Pathways
Parachlorophenol,DB13154,No ATC Code,No Pathways
Esculin,DB13155,No ATC Code,No Pathways
Inosine pranobex,DB13156,J05AX05,No Pathways
Sodium lauryl sulfoacetate,DB13157,A06AG11,No Pathways
Clobetasone,DB13158,"D07AB01, S01CA11, S01BA09",No Pathways
Alphaprodine,DB13160,No ATC Code,No Pathways
Nusinersen,DB13161,M09AX07,No Pathways
Terpin hydrate,DB13163,No ATC Code,No Pathways
Olmutinib,DB13164,L01EB06,No Pathways
Ripasudil,DB13165,S01EX07,No Pathways
Zofenopril,DB13166,"C09BA15, C09AA15",No Pathways
Alclofenac,DB13167,M01AB06,No Pathways
Omega-6 fatty acids,DB13168,No ATC Code,No Pathways
Nandrolone,DB13169,"S01XA11, A14AB01",No Pathways
Plecanatide,DB13170,A06AX07,No Pathways
Glyceryl 1-oleate,DB13171,No ATC Code,No Pathways
Tunicamycin,DB13172,No ATC Code,No Pathways
Cerliponase alfa,DB13173,A16AB17,No Pathways
Rhein,DB13174,No ATC Code,No Pathways
Rheinanthrone,DB13175,No ATC Code,No Pathways
4-methylumbelliferyl beta-D-glucoside,DB13177,No ATC Code,No Pathways
Inositol,DB13178,A11HA07,"Inositol Metabolism, Galactose Metabolism, Galactosemia, Joubert Syndrome, Inositol Phosphate Metabolism, Phosphatidylinositol Phosphate Metabolism"
Troleandomycin,DB13179,J01FA08,No Pathways
Gluconic Acid,DB13180,No ATC Code,No Pathways
Methylbenactyzium,DB13181,No ATC Code,No Pathways
Daidzein,DB13182,No ATC Code,No Pathways
Technetium Tc-99m etifenin,DB13183,V09DA02,No Pathways
Oxabolone cipionate,DB13185,A14AB03,No Pathways
Calcitonin porcine,DB13189,H05BA02,No Pathways
Ethacridine,DB13190,"D08AA01, B05CA08",No Pathways
Phosphocreatine,DB13191,C01EB06,No Pathways
Antihemophilic factor human,DB13192,B02BD02,No Pathways
Vitex agnus-castus fruit extract,DB13193,G02CX03,No Pathways
Hedera helix leaf extract,DB13194,R05CA12,No Pathways
Horse chestnut,DB13195,C05CX03,No Pathways
Valerian,DB13196,N05CM09,No Pathways
Kallidinogenase,DB13197,C04AF01,No Pathways
Pepsin,DB13198,"A09AC01, A09AA03",No Pathways
Brinase,DB13199,B01AD06,No Pathways
Lipegfilgrastim,DB13200,L03AA14,No Pathways
Trenonacog alfa,DB13201,No ATC Code,No Pathways
Piprozolin,DB13202,A05AX01,No Pathways
Bamifylline,DB13203,R03DA08,No Pathways
Dimethyl carbate,DB13204,P03BX05,No Pathways
Teclozan,DB13205,P01AC04,No Pathways
Bamethan,DB13206,C04AA31,No Pathways
Arginine glutamate,DB13207,A05BA01,No Pathways
Prednylidene,DB13208,H02AB11,No Pathways
Bismuth subnitrate,DB13209,A02BX12,No Pathways
Sodium chlorite,DB13210,D03AX11,No Pathways
Guanoxan,DB13211,C02CC03,No Pathways
Phenolsulfonphthalein,DB13212,V04CH03,No Pathways
Butaperazine,DB13213,N05AB09,No Pathways
Sulfadicramide,DB13214,S01AB03,No Pathways
Sulfobromophthalein,DB13215,V04CE02,No Pathways
Oxolamine,DB13216,R05DB07,No Pathways
Fentiazac,DB13217,"M01AB10, M02AA14",No Pathways
Mandelic acid,DB13218,"B05CA06, J01XX06",No Pathways
Medifoxamine,DB13219,N06AX13,No Pathways
Ferrous aspartate,DB13220,B03AA09,No Pathways
Apronalide,DB13221,N05CM12,No Pathways
Tilbroquinol,DB13222,"P01AA30, P01AA05",No Pathways
Fluocortin,DB13223,D07AB04,No Pathways
Piperidione,DB13224,R05DB23,No Pathways
Dibenzepin,DB13225,N06AA08,No Pathways
Acetylleucine,DB13226,N07CA04,No Pathways
Tribenoside,DB13227,"C05AX05, C05CX01",No Pathways
Flosequinan,DB13228,C01DB01,No Pathways
Enibomal,DB13229,N01AG01,No Pathways
Gestonorone,DB13230,"L02AB03, G03DA01",No Pathways
Calcium lactate,DB13231,A12AA05,No Pathways
Suxibuzone,DB13232,M02AA22,No Pathways
Alaproclate,DB13233,N06AB07,No Pathways
Propanidid,DB13234,N01AX04,No Pathways
Perboric acid,DB13235,A01AB19,No Pathways
Stibophen,DB13236,P02BX03,No Pathways
Clofoctol,DB13237,J01XX03,No Pathways
Tuaminoheptane,DB13238,"R01AA11, R01AB08",No Pathways
Neltenexine,DB13239,R05CB14,No Pathways
Cymarin,DB13240,C01AC03,No Pathways
Begelomab,DB13241,L04AA35,No Pathways
Bucladesine,DB13242,C01CE04,No Pathways
Tiazofurine,DB13243,L01XX18,No Pathways
Aminomethylbenzoic acid,DB13244,B02AA03,No Pathways
Thiram,DB13245,P03AA05,No Pathways
Quinupramine,DB13246,N06AA23,No Pathways
Pramiracetam,DB13247,N06BX16,No Pathways
Phthalylsulfathiazole,DB13248,"G01AE10, A07AB02",No Pathways
Magnesium silicate,DB13249,A02AA05,No Pathways
Methylmethionine chloride,DB13250,A02BX04,No Pathways
Octopamine,DB13251,C01CA18,No Pathways
Tropatepine,DB13252,N04AA12,No Pathways
Proxibarbal,DB13253,N05CA22,No Pathways
Prifinium,DB13254,A03AB18,No Pathways
Propatyl nitrate,DB13255,"C01DA57, C01DA07",No Pathways
Clothiapine,DB13256,N05AH06,No Pathways
Ferrous sulfate anhydrous,DB13257,No ATC Code,No Pathways
Etofamide,DB13258,P01AC03,No Pathways
Ethyl chloride,DB13259,N01BX01,No Pathways
Lysozyme,DB13260,"J05AX02, D06BB07",No Pathways
Sitafloxacin,DB13261,J01MA21,No Pathways
Aceclidine,DB13262,"S01EB58, S01EB08",No Pathways
Quassia,DB13263,P03AX04,No Pathways
Penimepicycline,DB13264,J01AA10,No Pathways
Hexobendine,DB13265,C01DX06,No Pathways
Cefatrizine,DB13266,J01DB07,No Pathways
Ritiometan,DB13267,R01AX05,No Pathways
Acetarsol,DB13268,"G01AB01, P01CD02, A07AX02",No Pathways
Dichlorobenzyl alcohol,DB13269,R02AA03,No Pathways
Dibekacin,DB13270,"S01AA29, J01GB09",No Pathways
Wood creosote,DB13271,R05CA08,No Pathways
Meladrazine,DB13272,G04BD03,No Pathways
Sultopride,DB13273,N05AL02,No Pathways
Micronomicin,DB13274,S01AA22,No Pathways
Clorindione,DB13275,B01AA09,No Pathways
Idanpramine,DB13276,A03AX06,No Pathways
Benziodarone,DB13277,"C01DX54, C01DX04",No Pathways
Bucetin,DB13278,"N02BE04, N02BE74, N02BE54",No Pathways
Carbocromen,DB13279,C01DX05,No Pathways
Aluminium acetoacetate,DB13280,A02AB05,No Pathways
Bromelains,DB13281,"D03BA03, M09AB03",No Pathways
Benzododecinium,DB13282,D09AA05,No Pathways
Sulfaisodimidine,DB13283,J01EB01,No Pathways
Meticrane,DB13284,"G01AE10, C03BA09",No Pathways
Etilamfetamine,DB13285,A08AA06,No Pathways
Bumadizone,DB13286,M01AB07,No Pathways
Miocamycin,DB13287,J01FA11,No Pathways
Tromantadine,DB13288,"J05AC03, D06BB02",No Pathways
Rimazolium,DB13289,N02BG02,No Pathways
Olaflur,DB13290,A01AA03,No Pathways
Cloridarol,DB13291,C01DX15,No Pathways
Pimethixene,DB13292,R06AX23,Pimethixene H1-Antihistamine Action
Ipecac,DB13293,"R05CA04, V03AB01",No Pathways
Azidamfenicol,DB13294,S01AA25,No Pathways
Atracurium,DB13295,M03AC04,No Pathways
Propamidine,DB13296,"S01AX15, D08AC03",No Pathways
Idrocilamide,DB13297,M02AX05,No Pathways
Alsactide,DB13298,V04CH04,No Pathways
Sulglicotide,DB13299,A02BX08,No Pathways
Epicillin,DB13300,J01CA07,No Pathways
Hachimycin,DB13302,"J02AA02, D01AA03, G01AA06",No Pathways
Febarbamate,DB13303,M03BA05,No Pathways
Triaziquone,DB13304,L01AC02,No Pathways
Tolpropamine,DB13305,D04AA12,Tolpropamine H1-Antihistamine Action
Chlorquinaldol,DB13306,"P01AA04, R02AA11, G01AC03, D08AH02",No Pathways
Proscillaridin,DB13307,"C01AB51, C01AB01",No Pathways
Oxametacin,DB13308,M01AB13,No Pathways
Benproperine,DB13309,R05DB02,No Pathways
Ormeloxifene,DB13310,G03XC04,No Pathways
Trepibutone,DB13311,A03AX09,No Pathways
Delapril,DB13312,"C09AA12, C09BB12, C09BA12",No Pathways
Melevodopa,DB13313,"N04BA04, N04BA05",No Pathways
Alminoprofen,DB13314,M01AE16,No Pathways
Sobrerol,DB13315,R05CB07,No Pathways
Ibopamine,DB13316,"S01FB03, C01CA16",No Pathways
Flunoxaprofen,DB13317,"M01AE15, G02CC04",No Pathways
Demecolcine,DB13318,L01CC01,No Pathways
Propenidazole,DB13319,"G01AF14, P01AB05",No Pathways
Sulfaperin,DB13320,J01ED06,No Pathways
Methiodal,DB13321,V08AA09,No Pathways
Hydrotalcite,DB13322,A02AD04,No Pathways
Trichloroethylene,DB13323,N01AB05,No Pathways
Tetrazepam,DB13324,M03BX07,No Pathways
Nifurzide,DB13325,A07AX04,No Pathways
Euflavine,DB13326,D08AA03,No Pathways
Picotamide,DB13327,B01AC03,No Pathways
Butanilicaine,DB13328,N01BB05,No Pathways
Guaiazulen,DB13329,S01XA01,No Pathways
Amezinium metilsulfate,DB13330,C01CA25,No Pathways
Pyrithyldione,DB13331,N05CE03,No Pathways
Dibutylsuccinate,DB13332,P03BX04,No Pathways
Efloxate,DB13333,C01DX13,No Pathways
Mannosulfan,DB13334,L01AB03,No Pathways
Pinazepam,DB13335,N05BA14,No Pathways
Dimethylphthalate,DB13336,P03BX02,No Pathways
Pheneticillin,DB13337,"J01CR50, J01CE05",No Pathways
Flurithromycin,DB13338,J01FA14,No Pathways
Etoglucid,DB13339,L01AG01,No Pathways
Suloctidil,DB13340,C04AX19,No Pathways
Fenozolone,DB13341,N06BA08,No Pathways
Cinepazet,DB13342,C01DX14,No Pathways
Tioxolone,DB13343,D10AB03,No Pathways
Mercuric amidochloride,DB13344,D08AK01,No Pathways
Dihydroergocristine,DB13345,"C04AE54, C04AE04",No Pathways
Bufexamac,DB13346,"M01AB17, M02AA09",No Pathways
Diphenadione,DB13347,B01AA10,No Pathways
Tiadenol,DB13348,C10AX03,No Pathways
Talastine,DB13349,R06AB07,Talastine H1-Antihistamine Action
Azanidazole,DB13350,"G01AF13, P01AB04",No Pathways
Piperidolate,DB13351,A03AA30,No Pathways
Deanol,DB13352,N06BX04,No Pathways
Viminol,DB13353,N02BG05,No Pathways
Phenprobamate,DB13354,"M03BA71, M03BA51, M03BA01",No Pathways
Visnadine,DB13355,C04AX24,No Pathways
Mesulfen,DB13356,"P03AA03, D10AB05",No Pathways
Styramate,DB13357,M03BA04,No Pathways
Cibenzoline,DB13358,C01BG07,No Pathways
Magnesium aspartate,DB13359,A12CC05,No Pathways
Tolciclate,DB13360,D01AE19,No Pathways
Trimethyldiphenylpropylamine,DB13361,A03AX30,No Pathways
Pheneturide,DB13362,N03AX13,No Pathways
Oxaceprol,DB13363,"M01AX24, D11AX09",No Pathways
Feprazone,DB13364,"M01AX18, M02AA16, M01AX68",No Pathways
Calcium lactate gluconate,DB13365,A12AA06,No Pathways
Hydrochloric acid,DB13366,"B05XA13, A09AB03",No Pathways
Cloricromen,DB13367,B01AC02,No Pathways
Motretinide,DB13368,D10AD05,No Pathways
Benzilone,DB13369,A03AB01,No Pathways
Bromisoval,DB13370,N05CM03,No Pathways
Difenpiramide,DB13371,M01AB12,No Pathways
Calcium alginate,DB13372,B02BC08,No Pathways
Acriflavine,DB13373,R02AA13,No Pathways
Vincamine,DB13374,C04AX07,No Pathways
Edrecolomab,DB13375,L01FX01,No Pathways
Succinimide,DB13376,G04BX10,No Pathways
Vinbarbital,DB13377,N05CA09,No Pathways
Norfenefrine,DB13378,C01CA05,No Pathways
Chiniofon,DB13379,P01AX01,No Pathways
Difemerine,DB13380,A03AA09,No Pathways
Sodium feredetate,DB13381,B03AB03,No Pathways
Chlorproethazine,DB13382,N05AA07,No Pathways
Diiodohydroxypropane,DB13383,D08AG04,No Pathways
Melitracen,DB13384,"N06CA02, N06AA14",No Pathways
Dihydroergocryptine,DB13385,N04BC03,No Pathways
Epimestrol,DB13386,G03GB03,No Pathways
Hematin,DB13387,No ATC Code,No Pathways
Phenylmercuric nitrate,DB13388,D09AA04,No Pathways
Iopydol,DB13389,V08AD02,No Pathways
Levoverbenone,DB13391,R05CA11,No Pathways
Merbromin,DB13392,D08AK04,No Pathways
Emetine,DB13393,"P01AX02, P01AX52",No Pathways
Adrenalone,DB13394,"A01AD06, B02BC05",No Pathways
Eprozinol,DB13395,R03DX02,No Pathways
Neocitrullamon,DB13396,N03AB03,No Pathways
Prenoxdiazine,DB13397,R05DB18,No Pathways
Oxyfedrine,DB13398,"C01DX03, C01DX53",No Pathways
Terguride,DB13399,G02CB06,No Pathways
Linsidomine,DB13400,C01DX18,No Pathways
Metildigoxin,DB13401,C01AA08,No Pathways
Acetylglycinamide chloral hydrate,DB13402,N05CC03,No Pathways
Oxypertine,DB13403,N05AE01,No Pathways
Edetate sodium,DB13404,S01XA05,No Pathways
Mefruside,DB13405,"C03BB05, C03BA05",No Pathways
Carbutamide,DB13406,A10BB06,No Pathways
Nifenazone,DB13407,"M02AA24, N02BB05",No Pathways
Methylpropylpropanediol dinitrate,DB13408,"C01DA54, C01DA04",No Pathways
Rokitamycin,DB13409,J01FA12,No Pathways
Guanoxabenz,DB13410,C02CC07,No Pathways
Lofepramine,DB13411,N06AA07,No Pathways
Pirisudanol,DB13412,N06BX08,No Pathways
Phenglutarimide,DB13413,N04AA09,No Pathways
Fenyramidol,DB13414,M03BX30,No Pathways
Pentetrazol,DB13415,"R07AB53, R07AB03",No Pathways
Sulbutiamine,DB13416,A11DA02,No Pathways
Morinamide,DB13417,J04AK04,No Pathways
Moxestrol,DB13418,G03CB04,No Pathways
Troxipide,DB13419,A02BX11,No Pathways
Thiazinam,DB13420,R06AD06,Thiazinamium H1-Antihistamine Action
Edoxudine,DB13421,D06BB09,No Pathways
Nicofuranose,DB13422,C10AD03,No Pathways
Ferric hydroxide,DB13423,B03AB04,No Pathways
Clofenotane,DB13424,"P03AB51, P03AB01",No Pathways
Flutrimazole,DB13425,"G01AF18, D01AC16",No Pathways
Gold Au-198,DB13427,V10AX06,No Pathways
Iobenzamic acid,DB13428,V08AC05,No Pathways
Tolonidine,DB13429,C02AC04,No Pathways
Mebutizide,DB13430,"C03AA13, C03EA05",No Pathways
Proglumide,DB13431,A02BX06,No Pathways
Lonazolac,DB13432,M01AB09,No Pathways
Simfibrate,DB13433,C10AB06,No Pathways
Fenticonazole,DB13434,"D01AC12, G01AF12",No Pathways
Endralazine,DB13435,C02DB03,No Pathways
Droxypropine,DB13436,R05DB17,No Pathways
Medazepam,DB13437,N05BA03,No Pathways
Prolintane,DB13438,N06BX14,No Pathways
Fenpiprane,DB13439,A03AX01,No Pathways
Niceritrol,DB13441,C10AD01,No Pathways
Citiolone,DB13442,A05BA04,No Pathways
Esatenolol,DB13443,C07AB11,No Pathways
Ioxitalamic acid,DB13444,V08AA05,No Pathways
Nepinalone,DB13445,R05DB26,No Pathways
Guar gum,DB13446,A10BX01,No Pathways
Prethcamide,DB13447,R07AB06,No Pathways
Mazaticol,DB13448,N04AA10,No Pathways
Proxyphylline,DB13449,"R03DA03, R03DB03",No Pathways
Tioclomarol,DB13451,B01AA11,No Pathways
Cadralazine,DB13452,C02DB04,No Pathways
Xenon,DB13453,N01AX15,No Pathways
Nicomorphine,DB13454,N02AA04,No Pathways
Phenibut,DB13455,N06BX22,No Pathways
Midecamycin,DB13456,J01FA03,No Pathways
Oxaflozane,DB13457,N06AX10,No Pathways
Thebacon,DB13458,R05DA10,No Pathways
Pecilocin,DB13459,D01AA04,No Pathways
Ronifibrate,DB13460,C10AB07,No Pathways
Cefcapene,DB13461,J01DD17,No Pathways
Bephenium,DB13462,P02CX02,No Pathways
Oxetorone,DB13463,N02CX06,No Pathways
Ornipressin,DB13464,H01BA05,No Pathways
Ciclobendazole,DB13465,P02CA04,No Pathways
Deptropine,DB13466,R06AX16,No Pathways
Lanatoside C,DB13467,C01AA06,No Pathways
Etybenzatropine,DB13468,N04AC30,No Pathways
Phanquinone,DB13469,P01AX04,No Pathways
Cefodizime,DB13470,J01DD09,No Pathways
Nalfurafine,DB13471,V03AX02,No Pathways
Cyclofenil,DB13472,G03GB01,No Pathways
Antimony pentasulfide,DB13473,R05CA07,No Pathways
Tipepidine,DB13474,R05DB24,No Pathways
Furazidin,DB13475,J01XE03,No Pathways
Diisopromine,DB13476,A03AX02,No Pathways
Sodium apolate,DB13477,C05BA02,No Pathways
Meptazinol,DB13478,N02AX05,No Pathways
Histapyrrodine,DB13479,"R06AC52, R06AC02",Histapyrrodine H1-Antihistamine Action
Lentinan,DB13480,L03AX01,No Pathways
Tenidap,DB13481,M01AX23,No Pathways
Dimefline,DB13482,R07AB08,No Pathways
Etamsylate,DB13483,B02BX01,No Pathways
Quinbolone,DB13484,A14AA06,No Pathways
Sulfametomidine,DB13485,J01ED03,No Pathways
Magnesium peroxide,DB13486,"A06AD03, A02AA03",No Pathways
Iodine (131I) norcholesterol,DB13487,V09XA01,No Pathways
Bencyclane,DB13488,C04AX11,No Pathways
Bamipine,DB13489,"R06AX01, D04AA15",No Pathways
Hidrosmin,DB13490,C05CA05,No Pathways
Fluperolone,DB13491,D07AB05,No Pathways
Policresulen,DB13492,"D08AE02, G01AX03",No Pathways
Cyclobutyrol,DB13493,A05AX03,No Pathways
Dimetofrine,DB13494,C01CA12,No Pathways
Paraoxon,DB13495,S01EB10,No Pathways
Iprindole,DB13496,N06AA13,No Pathways
Valethamate,DB13497,A03AX14,No Pathways
Cefsulodin,DB13499,J01DD03,No Pathways
Otilonium,DB13500,"A03CA04, A03AB06",No Pathways
Bendazac,DB13501,"M02AA11, S01BC07",No Pathways
Budipine,DB13502,N04BX03,No Pathways
Tyrothricin,DB13503,"S01AA05, R02AB02, D06AX08",No Pathways
Cefetamet,DB13504,J01DD10,No Pathways
Emepronium,DB13505,"A03CA30, N05CX05, G04BD01",No Pathways
Carfecillin,DB13506,G01AA08,No Pathways
Poldine,DB13507,A03AB11,No Pathways
Cloranolol,DB13508,C07AA27,No Pathways
Aloxiprin,DB13509,"N02BA02, B01AC15",No Pathways
Buflomedil,DB13510,C04AX20,No Pathways
Clebopride,DB13511,A03FA06,No Pathways
Clefamide,DB13512,P01AC02,No Pathways
Tribromometacresol,DB13513,D01AE03,No Pathways
Pranoprofen,DB13514,S01BC09,No Pathways
Levomethadone,DB13515,N07BC05,No Pathways
Clodantoin,DB13516,G01AX01,No Pathways
Angiotensinamide,DB13517,C01CX06,No Pathways
Alginic acid,DB13518,A02BX13,No Pathways
Cerium oxalate,DB13519,A04AD02,No Pathways
Metergoline,DB13520,G02CB05,No Pathways
Alipogene tiparvovec,DB13521,C10AX10,No Pathways
Mebicar,DB13522,No ATC Code,No Pathways
Veralipride,DB13523,N05AL06,No Pathways
Propyphenazone,DB13524,"N02BB74, N02BB54, N02BB04",No Pathways
Althea root,DB13525,No ATC Code,No Pathways
Pentaerithrityl,DB13526,A06AD14,No Pathways
Proglumetacin,DB13527,M01AB14,No Pathways
Chlormadinone,DB13528,"G03AA15, G03FB03, G03AB07, G03DB06",No Pathways
Dobesilic acid,DB13529,"C05BX01, C05BX51",No Pathways
Mepindolol,DB13530,C07AA14,No Pathways
Nicofetamide,DB13531,A03AC04,No Pathways
Cyclopenthiazide,DB13532,"G01AE10, C03AB07, C03EA07, C03AA07",No Pathways
Methylestrenolone,DB13533,G03DC31,No Pathways
Gedocarnil,DB13534,N05BX02,No Pathways
Nebacumab,DB13535,J06BC01,No Pathways
Broxyquinoline,DB13536,"P01AA01, A07AX01, G01AC06",No Pathways
Gitoformate,DB13537,C01AA09,No Pathways
Guacetisal,DB13538,N02BA14,No Pathways
Iodoxamic acid,DB13539,V08AC01,No Pathways
Isepamicin,DB13540,J01GB11,No Pathways
Iprazochrome,DB13541,N02CX03,No Pathways
Bevonium,DB13542,"A03AB13, A03DA03, A03CA06",No Pathways
Mitobronitol,DB13543,L01AX01,No Pathways
Ethenzamide,DB13544,"N02BA07, N02BA77, N02BA57",No Pathways
Isobromindione,DB13545,M04AB04,No Pathways
Nizofenone,DB13546,N06BX10,No Pathways
Sulfatolamide,DB13547,G01AE01,No Pathways
Dibrompropamidine,DB13548,"D08AC01, S01AX14",No Pathways
4-dimethylaminophenol,DB13549,V03AB27,No Pathways
Bifemelane,DB13550,N06AX08,No Pathways
Cinchophen,DB13551,M04AC02,No Pathways
Trifluperidol,DB13552,N05AD02,No Pathways
Carumonam,DB13553,J01DF02,No Pathways
Moperone,DB13554,N05AD04,No Pathways
Prajmaline,DB13555,C01BA08,No Pathways
Sulfamazone,DB13556,J01ED09,No Pathways
Thiopropazate,DB13557,N05AB05,No Pathways
Morclofone,DB13558,R05DB25,No Pathways
Rimiterol,DB13559,R03AC05,No Pathways
Dextranomer,DB13560,D03AX02,No Pathways
Clobenzorex,DB13561,A08AA08,No Pathways
Norgestrienone,DB13563,G03AC07,No Pathways
Zipeprol,DB13564,R05DB15,No Pathways
Benzoxonium,DB13565,"A01AB14, D08AJ05",No Pathways
Sequifenadine,DB13566,R06AX32,No Pathways
Desaspidin,DB13567,P02DX01,No Pathways
Diodone,DB13568,V08AA10,No Pathways
Ferrous chloride,DB13569,B03AA05,No Pathways
